Don't Start Now;Dua Lipa
Roxanne;Arizona Zervas
Immortal;21 Savage
It All Comes Out In The Wash;Miranda Lambert
Love Me More;Trippie Redd
In My Room;Frank Ocean
Ridin' Roads;Dustin Lynch
For My Daughter;Kane Brown
Easy;DaniLeigh Featuring Chris Brown
Big Boy Diamonds;Gucci Mane Featuring Kodak Black & London On Da Track
Follow God;Kanye West
Closed On Sunday;Kanye West
Selah;Kanye West
On God;Kanye West
Look At Her Now.;Selena Gomez
Everything We Need;Kanye West Featuring Ty Dolla $ign & Ant Clemons
God Is;Kanye West
Use This Gospel;Kanye West Featuring Clipse & Kenny G
Every Hour;Kanye West Featuring Sunday Service Choir
Water;Kanye West Featuring Ant Clemons
Hands On;Kanye West Featuring Fred Hammond
Jesus Is Lord;Kanye West
Start Wit Me;Roddy Ricch & Gunna
What She Wants Tonight;Luke Bryan
Lose You To Love Me;Selena Gomez
Somebody;Internet Money, Lil Tecca & A Boogie Wit da Hoodie
DHL;Frank Ocean
Lights Up;Harry Styles
Lonely Child;YoungBoy Never Broke Again
Make No Sense;YoungBoy Never Broke Again
Carter Son;YoungBoy Never Broke Again
Kinfolks;Sam Hunt
Hot Now;YoungBoy Never Broke Again
All Dat;Moneybagg Yo X Megan Thee Stallon
In Control;YoungBoy Never Broke Again
Time I'm On;YoungBoy Never Broke Again
Rich As Hell;YoungBoy Never Broke Again
HIGHEST IN THE ROOM;Travis Scott
10,000 Hours;Dan + Shay & Justin Bieber
Bandit;Juice WRLD & YoungBoy Never Broke Again
Come Thru;Summer Walker & Usher
I'll Kill You;Summer Walker Featuring Jhene Aiko
Stretch You Out;Summer Walker Featuring A Boogie Wit da Hoodie
Body;Summer Walker
Drunk Dialing...LODT;Summer Walker
Over It;Summer Walker
Nice To Meet Ya;Niall Horan
Leave Em Alone;Layton Greene, Lil Baby, City Girls & PnB Rock
Potential;Summer Walker
Dance Monkey;Tones And I
BOP;DaBaby
VIBEZ;DaBaby
TOES;DaBaby Featuring Lil Baby & Moneybagg Yo
iPHONE;DaBaby & Nicki Minaj
OFF THE RIP;DaBaby
